id,Субъект Российской Федерации,Год,Всего,ЗП,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,Российская Федерация,2022,146980061,100.3,27308154,84399999,35271908,1387940,1420506,1475638,1599066,1684606,1882375,1946371,1930623,1915609,1926527,1821960,1770857,1724324,1718446,1617684,1485622,1522149,1488657,1541813,1511818,1418992,1534643,1429530,1411945,1345480,1491434,1599551,1540241,1580631,1777928,1968536,2385148,2440989,2493546,2616678,2640154,2638476,2475383,2523968,2381982,2253574,2468947,2228360,2195181,2069209,2160013,2162193,2029214,1931351,1953376,1872916,1990549,1788258,1783617,1667541,1735106,1870219,1823401,1992138,2007616,2085000,2285022,2089912,2071544,1947989,1912557,1885739,1815121,1606165,1605635,1487816,1475289,1426999,1143942,1054755,927707,587057,389425,354289,489660,701530,712982,715981,649112,577909,421816,329785,219515,178856,193880,137753,129262,90422,72817,51817,37317,25728,16705,11104,6254,7288
2,Центральный федеральный округ,2022,40298032,99.1,6692361,23130713,10474958,348171,359201,375574,402539,423819,474163,480578,465869,461298,463011,437051,431793,417691,407169,381171,363263,372030,357051,389983,392080,367143,416867,384077,359715,355609,405395,436639,402913,415456,460892,508883,651018,667770,678971,717958,725127,738784,682986,697223,657103,623258,717479,630064,618355,571581,610504,611121,571554,539873,547949,524593,573037,507418,511227,465563,485959,531456,510773,568048,567156,581322,649235,592760,601491,556357,560904,549321,520784,458069,463819,427604,438267,429635,347415,325234,298020,195135,128638,105220,151845,226290,221137,224255,206669,185682,130939,103184,68880,59576,66131,47002,43721,30955,24668,18312,13322,9722,6359,4326,2545,2280
3,Белгородская область,2022,1536466,99.4,258850,873576,404040,12203,12272,13189,14364,15181,17372,17951,18230,18384,18431,17716,16782,17261,17581,16661,15272,14419,14798,14779,13910,13147,13988,13113,13687,13641,14924,16452,17686,17660,19834,20602,23935,24161,26016,27090,27379,26136,26029,26045,24174,22937,23895,22879,22643,21479,22153,22065,21657,20642,21013,20045,20400,18370,18623,18841,19811,20112,20740,22842,24084,24526,25804,23893,23739,22713,21683,20755,20200,18042,18149,16872,16605,17239,13231,10461,10059,5177,4162,4116,6337,9067,8807,8866,8413,6952,5580,3565,2116,1655,2023,1559,1894,1152,993,700,495,326,284,131,151,288
4,Брянская область,2022,1164635,99.7,200373,659068,305194,9137,9769,10254,11372,11737,13657,14381,13201,13539,14094,13579,13180,13590,14172,13427,11284,11814,11479,10960,10608,10115,9707,10163,10214,10315,11507,12302,13111,12861,14635,14892,17528,18253,18313,19354,20692,19215,18513,18743,17258,17101,18401,17129,17485,15614,16646,17226,16230,15592,15816,15545,16639,15045,15549,14848,15711,16464,15749,17323,17741,18547,20185,18334,18228,17535,16843,16441,15268,13178,13630,12915,13215,12529,9469,8258,6952,4107,3565,3227,4733,6268,6107,6032,5644,4899,3940,2839,1714,1632,2103,1258,1338,863,736,469,330,207,139,95,56,28
5,Владимирская область,2022,1342235,100.0,219772,749208,373255,9698,9954,10998,12569,13045,15383,15818,15169,15142,15934,15081,14602,14595,14644,14044,13096,13021,12920,13496,13149,12288,11778,11295,11630,11284,12244,12684,13361,13849,15305,16420,19296,20205,21250,23041,23090,21592,22221,22552,21255,19953,20936,20549,19979,18944,19529,20188,19168,18213,18591,18055,18702,16700,16438,16004,17538,17478,18206,19129,20518,21393,21872,21806,21747,20642,19265,19558,19760,16504,16296,15363,15687,15111,12422,11219,9889,6141,4248,3426,5239,8706,7943,7876,7538,6697,4466,3791,2499,2105,2027,1606,1530,1161,787,620,423,352,230,147,82,245
6,Воронежская область,2022,2302617,99.3,368159,1309476,624982,18521,19027,19631,21574,22601,25217,26256,25820,25559,26212,24684,23803,24039,23286,21735,20194,20629,21632,21898,21417,21462,22241,19810,20693,20046,21444,23693,25848,27551,31756,33059,37169,37861,39930,40894,40847,39245,38882,38784,35643,34416,35865,33092,32638,31937,32796,32606,31937,30223,31056,29967,30503,28042,28378,27792,29213,29871,30366,33362,34561,35923,38209,35981,35750,34748,33137,31723,30976,27034,27999,25581,25070,26659,21336,17856,17026,9067,6667,6541,9513,14671,14593,14444,13408,10304,8703,6557,4059,3460,4009,3029,2813,2029,1550,1100,764,460,293,198,92,71
7,Ивановская область,2022,924114,96.8,149869,516959,257286,6806,6904,7351,8325,9125,10228,10519,10437,10719,10541,9947,10026,10242,10088,9647,8964,8807,8722,9479,9414,9226,9112,7621,7654,6901,7735,7905,7767,8501,10322,11046,13054,13642,14212,15164,15364,15853,14566,15437,14066,13779,14706,13788,14003,13164,13893,14681,13771,12838,13361,13072,13130,12459,12038,11554,12386,13019,12654,13639,14226,14631,14725,14276,14214,13801,13127,13702,13927,11967,11788,11370,11022,10993,8487,7903,6942,3743,2758,1868,3208,6039,5638,5513,5003,4479,3081,2548,2061,1534,1575,1169,1051,677,560,405,273,202,116,64,38,36
8,Калужская область,2022,1073252,94.4,178914,617757,276581,8919,9407,9535,11068,11536,12891,13214,12115,12021,12280,11554,11848,11052,10928,10627,9919,10191,10118,10333,9877,10018,9915,9936,10213,10145,10285,11386,11230,11483,12863,14518,16643,18057,18586,20214,19888,19140,19067,19148,17429,16674,17339,16347,16594,15306,15992,15871,14825,14168,14555,14139,14573,13248,13189,12700,13012,14557,13504,15101,15625,15852,17131,16133,16948,15623,15700,14886,14129,12254,12304,11704,11380,10961,8927,8457,7083,4427,3049,2663,4128,5860,5515,5410,5178,4844,3468,2464,1550,1509,1548,1232,1204,759,651,442,327,219,199,105,74,39
9,Костромская область,2022,577996,97.3,107714,307707,162575,4919,5078,5470,5724,6507,7271,7581,7712,7838,8052,7611,7195,7148,6785,6627,6196,6421,6581,5463,5059,4876,4600,4297,4228,4024,4358,4387,4696,4673,5462,6423,7633,8192,8603,9422,9141,9005,9278,9661,8820,8689,8765,8501,8490,7988,8310,8126,8004,7630,7561,7245,7277,6876,6787,6564,7164,8013,8027,8759,9318,9950,10880,10119,10328,9640,9103,8862,8715,7441,7347,6865,6936,6811,4835,4595,3787,2133,1371,1163,1922,3430,3248,3377,2898,2417,1711,1460,1198,918,869,596,553,404,319,254,175,115,55,44,23,18
10,Курская область,2022,1078156,98.9,183564,600971,293621,8793,9172,9326,10377,10830,12685,13135,13197,13182,13503,13110,11648,11247,12107,11402,9850,10018,10596,10351,9745,9650,10081,9409,9664,8892,9897,10498,10724,11375,11966,13153,15396,16446,17360,18282,17889,17197,17516,17916,16628,15618,16563,15291,15260,15326,15870,15669,14886,14428,14718,14328,14918,13590,13757,13400,14369,14735,14609,16843,16928,17775,19095,17788,18342,17057,17054,15679,15015,13232,13216,12221,11594,12155,9315,7835,7314,3783,2911,3072,4413,6144,5746,6095,5827,4526,3850,2597,1473,1342,1632,1210,1054,776,575,391,263,207,115,73,46,29
