id,Субъект Российской Федерации,Год,Всего,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,Российская Федерация,2022,78601633,13263499,40695148,24642986,673494,689192,716335,774231,817812,914421,946214,936676,931072,934883,885386,858612,838007,837284,787598,722282,739392,722831,746684,724291,680883,736057,689174,689370,659109,730971,791111,759379,787305,892819,987640,1191010,1230099,1261265,1322302,1330878,1333798,1255439,1291950,1224295,1158130,1257635,1150736,1137874,1081505,1125389,1130604,1060233,1015506,1028189,986306,1036445,947034,949268,898158,939055,1015029,1005905,1105535,1129027,1180589,1291418,1200494,1203060,1141981,1133532,1128514,1101187,984990,994032,936001,927957,916363,741637,692440,616086,386552,263924,242651,346685,508994,517767,530640,487597,433894,317667,249683,168829,139005,151757,108492,101157,72622,58749,41626,29963,20780,13707,9056,4935,5506
2,Центральный федеральный округ,2022,21619960,3232493,11113565,7273902,168365,172807,181402,193890,203991,228976,232060,224541,223349,222885,210919,208532,202082,197952,184427,176315,180131,172875,187686,184670,174402,196905,182880,174632,172798,197691,215459,198238,206786,231986,255876,323793,336261,344945,363810,367756,375618,346103,357100,336790,319850,363204,323889,318129,297284,315248,316539,296999,282170,286801,275209,295422,266824,269911,250434,263122,287339,284620,317886,322496,333874,369609,340676,348333,325751,330528,326050,313669,279464,285259,268203,272965,274228,223230,211060,194865,125111,85631,70440,106149,162862,158879,164767,154160,137757,97774,76972,52211,45839,51385,36878,34296,24728,19856,14723,10584,7806,5170,3450,1976,1732
3,Белгородская область,2022,824069,125665,417166,281238,5934,6016,6262,6976,7269,8483,8701,9001,8896,8943,8538,8180,8409,8633,8086,7338,7170,7233,7303,7009,6676,6735,6500,6894,6738,7283,8054,8492,8814,9651,10522,11824,12098,13035,13371,13620,13108,12873,13007,12006,11618,11959,11547,11382,11148,11587,11585,11398,10954,10862,10612,10668,9780,10045,10161,10800,11044,11458,12610,13287,13732,14503,13707,13679,13178,12561,12278,12066,11031,11078,10405,10273,10980,8460,6783,6696,3487,2812,2892,4528,6570,6429,6597,6373,5168,4183,2707,1585,1227,1558,1242,1466,951,805,562,378,276,238,110,110,219
4,Брянская область,2022,631010,97536,315053,218421,4365,4700,5010,5540,5730,6709,6884,6367,6584,6983,6546,6578,6598,6864,6581,5497,5694,5568,5281,5217,5022,4905,4959,4965,5065,5624,6104,6407,6374,7223,7354,8564,8988,9035,9583,10304,9949,9148,9417,8796,8729,9574,8652,9227,8080,8826,9044,8421,8130,8199,8183,8705,8033,8333,7924,8460,8987,8786,9557,9853,10353,11521,10510,10869,10404,10383,9923,9566,8273,8673,8406,8575,8242,6311,5555,4786,2904,2532,2375,3521,4698,4681,4658,4383,3780,3090,2225,1382,1314,1749,1021,1110,719,619,390,274,178,119,83,47,23
5,Владимирская область,2022,732711,106708,356705,269298,4719,4766,5383,6212,6391,7367,7711,7389,7322,7719,7369,7156,7022,7094,6782,6306,6330,6325,6500,6007,5543,5573,5296,5536,5429,5970,6075,6379,6571,7299,8158,9497,9858,10607,11448,11424,10728,11090,11366,10697,10311,10709,10338,10168,9806,10202,10370,10009,9506,9784,9529,9983,9011,9015,8698,9681,9879,10127,11176,11716,12325,12757,12978,13077,12422,11964,12222,12455,10521,10525,10074,10247,10201,8385,7608,6842,4252,3089,2455,3887,6679,6064,6154,5928,5311,3598,3004,2044,1711,1695,1307,1222,968,673,498,349,272,174,110,63,169
6,Воронежская область,2022,1238289,179060,624982,434247,8989,9294,9426,10535,10999,12227,12650,12623,12552,12816,12102,11508,11734,11226,10519,9860,10012,10660,10607,10403,10326,10574,9720,10070,9935,10595,11666,12495,13168,15842,16584,18565,18903,20068,20291,20384,19622,19540,19537,18061,17425,18192,16694,16774,16586,17198,16872,16781,16092,16288,15861,15834,14821,14899,14968,15828,16241,16495,18537,18995,20098,21586,20459,20539,20258,19382,18867,18579,16235,17088,15825,15719,17011,13818,11486,11463,6054,4334,4515,6783,10729,10727,10765,9954,7617,6514,4945,2965,2699,3185,2406,2223,1651,1267,903,632,393,244,168,77,57
7,Ивановская область,2022,509835,72310,248503,189022,3263,3251,3515,4058,4243,4835,5062,5067,5270,5080,4755,4941,4896,4971,4717,4386,4236,4119,4506,4413,4172,4302,3660,3596,3272,3799,3836,3726,4186,5279,5445,6465,6828,7108,7524,7613,8034,7316,7882,7138,7042,7464,7193,7226,6993,7267,7695,7304,6835,7168,6983,7005,6835,6629,6360,6875,7174,7096,7778,8144,8499,8611,8543,8567,8529,8358,8740,9053,7940,7777,7668,7479,7419,5889,5455,4961,2734,2045,1360,2498,4701,4421,4414,4060,3519,2464,2064,1722,1267,1328,1000,906,576,476,338,238,172,99,50,35,29
8,Калужская область,2022,563825,87321,284124,192380,4352,4545,4595,5432,5623,6362,6462,5892,5905,5991,5698,5874,5317,5272,5165,4836,5021,4953,5030,4543,4534,4298,4273,4644,4408,4675,5342,5261,5493,6038,6882,7965,8634,8814,9831,9607,9044,8988,9243,8319,8085,8575,8109,8195,7542,7983,8003,7418,7206,7408,7256,7426,6906,6831,6635,6919,7787,7366,8283,8814,9023,9742,9308,9789,9038,9038,8896,8539,7399,7542,7225,7024,6976,5775,5600,4642,2906,2082,1809,3029,4265,4108,4012,3978,3708,2687,1924,1210,1176,1263,970,986,612,543,334,279,169,148,76,54,33
9,Костромская область,2022,315324,52632,147332,115360,2315,2547,2662,2757,3163,3563,3721,3730,3833,4001,3634,3567,3517,3315,3241,3066,3178,3241,2585,2379,2357,2137,1994,2000,1894,2129,2158,2233,2306,2712,3139,3777,4128,4291,4873,4654,4646,4759,5038,4607,4511,4511,4402,4383,4201,4440,4333,4271,4081,3970,3868,3927,3643,3668,3575,3974,4359,4541,4846,5261,5766,6106,5778,6043,5730,5467,5374,5318,4660,4654,4388,4465,4478,3176,3013,2585,1450,937,856,1415,2578,2519,2619,2328,1900,1328,1178,963,743,717,507,462,347,275,211,155,101,49,34,22,17
10,Курская область,2022,588754,89366,290712,208676,4291,4403,4515,5063,5243,6193,6495,6396,6342,6636,6374,5698,5532,5889,5568,4728,4753,5104,5112,4855,4839,4920,4656,4930,4314,4901,5169,5545,5904,6217,6649,7805,8449,8854,9373,9012,8665,8982,9158,8499,8005,8487,8114,7909,8135,8298,8219,7997,7752,7758,7643,7994,7334,7400,7148,7837,8017,8096,9420,9446,10008,10684,10223,10693,10086,10099,9569,9093,8286,8303,7792,7465,8046,6201,5286,5020,2645,2111,2255,3308,4674,4413,4725,4602,3509,3031,2029,1155,1071,1342,984,884,661,492,345,223,179,99,63,38,22
