id,Субъект Российской Федерации,Год,Всего,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,до 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,Российская Федерация,2022,68378428,14044655,43704851,10628922,714446,731314,759303,824835,866794,967954,1000157,993947,984537,991644,936574,912245,886317,881162,830086,763340,782757,765826,795129,787527,738109,798586,740356,722575,686371,760463,808440,780862,793326,885109,980896,1194138,1210890,1232281,1294376,1309276,1304678,1219944,1232018,1157687,1095444,1211312,1077624,1057307,987704,1034624,1031589,968981,915845,925187,886610,954104,841224,834349,769383,796051,855190,817496,886603,878589,904411,993604,889418,868484,806008,779025,757225,713934,621175,611603,551815,547332,510636,402305,362315,311621,200505,125501,111638,142975,192536,195215,185341,161515,144015,104149,80102,50686,39851,42123,29261,28105,17800,14068,10191,7354,4948,2998,2048,1319,1782
2,Центральный федеральный округ,2022,18678072,3459868,12017148,3201056,179806,186394,194172,208649,219828,245187,248518,241328,237949,240126,226132,223261,215609,209217,196744,186948,191899,184176,202297,207410,192741,219962,201197,185083,182811,207704,221180,204675,208670,228906,253007,327225,331509,334026,354148,357371,363166,336883,340123,320313,303408,354275,306175,300226,274297,295256,294582,274555,257703,261148,249384,277615,240594,241316,215129,222837,244117,226153,250162,244660,247448,279626,252084,253158,230606,230376,223271,207115,178605,178560,159401,165302,155407,124185,114174,103155,70024,43007,34780,45696,63428,62258,59488,52509,47925,33165,26212,16669,13737,14746,10124,9425,6227,4812,3589,2738,1916,1189,876,569,548
3,Белгородская область,2022,712397,133185,456410,122802,6269,6256,6927,7388,7912,8889,9250,9229,9488,9488,9178,8602,8852,8948,8575,7934,7249,7565,7476,6901,6471,7253,6613,6793,6903,7641,8398,9194,8846,10183,10080,12111,12063,12981,13719,13759,13028,13156,13038,12168,11319,11936,11332,11261,10331,10566,10480,10259,9688,10151,9433,9732,8590,8578,8680,9011,9068,9282,10232,10797,10794,11301,10186,10060,9535,9122,8477,8134,7011,7071,6467,6332,6259,4771,3678,3363,1690,1350,1224,1809,2497,2378,2269,2040,1784,1397,858,531,428,465,317,428,201,188,138,117,50,46,21,41,69
4,Брянская область,2022,533625,102837,344015,86773,4772,5069,5244,5832,6007,6948,7497,6834,6955,7111,7033,6602,6992,7308,6846,5787,6120,5911,5679,5391,5093,4802,5204,5249,5250,5883,6198,6704,6487,7412,7538,8964,9265,9278,9771,10388,9266,9365,9326,8462,8372,8827,8477,8258,7534,7820,8182,7809,7462,7617,7362,7934,7012,7216,6924,7251,7477,6963,7766,7888,8194,8664,7824,7359,7131,6460,6518,5702,4905,4957,4509,4640,4287,3158,2703,2166,1203,1033,852,1212,1570,1426,1374,1261,1119,850,614,332,318,354,237,228,144,117,79,56,29,20,12,9,5
5,Владимирская область,2022,609524,113064,392503,103957,4979,5188,5615,6357,6654,8016,8107,7780,7820,8215,7712,7446,7573,7550,7262,6790,6691,6595,6996,7142,6745,6205,5999,6094,5855,6274,6609,6982,7278,8006,8262,9799,10347,10643,11593,11666,10864,11131,11186,10558,9642,10227,10211,9811,9138,9327,9818,9159,8707,8807,8526,8719,7689,7423,7306,7857,7599,8079,7953,8802,9068,9115,8828,8670,8220,7301,7336,7305,5983,5771,5289,5440,4910,4037,3611,3047,1889,1159,971,1352,2027,1879,1722,1610,1386,868,787,455,394,332,299,308,193,114,122,74,80,56,37,19,76
6,Воронежская область,2022,1064328,189099,684494,190735,9532,9733,10205,11039,11602,12990,13606,13197,13007,13396,12582,12295,12305,12060,11216,10334,10617,10972,11291,11014,11136,11667,10090,10623,10111,10849,12027,13353,14383,15914,16475,18604,18958,19862,20603,20463,19623,19342,19247,17582,16991,17673,16398,15864,15351,15598,15734,15156,14131,14768,14106,14669,13221,13479,12824,13385,13630,13871,14825,15566,15825,16623,15522,15211,14490,13755,12856,12397,10799,10911,9756,9351,9648,7518,6370,5563,3013,2333,2026,2730,3942,3866,3679,3454,2687,2189,1612,1094,761,824,623,590,378,283,197,132,67,49,30,15,14
7,Ивановская область,2022,414279,77559,268456,68264,3543,3653,3836,4267,4882,5393,5457,5370,5449,5461,5192,5085,5346,5117,4930,4578,4571,4603,4973,5001,5054,4810,3961,4058,3629,3936,4069,4041,4315,5043,5601,6589,6814,7104,7640,7751,7819,7250,7555,6928,6737,7242,6595,6777,6171,6626,6986,6467,6003,6193,6089,6125,5624,5409,5194,5511,5845,5558,5861,6082,6132,6114,5733,5647,5272,4769,4962,4874,4027,4011,3702,3543,3574,2598,2448,1981,1009,713,508,710,1338,1217,1099,943,960,617,484,339,267,247,169,145,101,84,67,35,30,17,14,3,7
8,Калужская область,2022,509427,91593,333633,84201,4567,4862,4940,5636,5913,6529,6752,6223,6116,6289,5856,5974,5735,5656,5462,5083,5170,5165,5303,5334,5484,5617,5663,5569,5737,5610,6044,5969,5990,6825,7636,8678,9423,9772,10383,10281,10096,10079,9905,9110,8589,8764,8238,8399,7764,8009,7868,7407,6962,7147,6883,7147,6342,6358,6065,6093,6770,6138,6818,6811,6829,7389,6825,7159,6585,6662,5990,5590,4855,4762,4479,4356,3985,3152,2857,2441,1521,967,854,1099,1595,1407,1398,1200,1136,781,540,340,333,285,262,218,147,108,108,48,50,51,29,20,6
9,Костромская область,2022,262672,55082,160375,47215,2604,2531,2808,2967,3344,3708,3860,3982,4005,4051,3977,3628,3631,3470,3386,3130,3243,3340,2878,2680,2519,2463,2303,2228,2130,2229,2229,2463,2367,2750,3284,3856,4064,4312,4549,4487,4359,4519,4623,4213,4178,4254,4099,4107,3787,3870,3793,3733,3549,3591,3377,3350,3233,3119,2989,3190,3654,3486,3913,4057,4184,4774,4341,4285,3910,3636,3488,3397,2781,2693,2477,2471,2333,1659,1582,1202,683,434,307,507,852,729,758,570,517,383,282,235,175,152,89,91,57,44,43,20,14,6,10,1,1
10,Курская область,2022,489402,94198,310259,84945,4502,4769,4811,5314,5587,6492,6640,6801,6840,6867,6736,5950,5715,6218,5834,5122,5265,5492,5239,4890,4811,5161,4753,4734,4578,4996,5329,5179,5471,5749,6504,7591,7997,8506,8909,8877,8532,8534,8758,8129,7613,8076,7177,7351,7191,7572,7450,6889,6676,6960,6685,6924,6256,6357,6252,6532,6718,6513,7423,7482,7767,8411,7565,7649,6971,6955,6110,5922,4946,4913,4429,4129,4109,3114,2549,2294,1138,800,817,1105,1470,1333,1370,1225,1017,819,568,318,271,290,226,170,115,83,46,40,28,16,10,8,7
